element,system,code,display,occurrences
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5771,Chronic pancreatitis,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5778,Other specified diseases of pancreas,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5780,HEMATEMESIS,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5809,Acute glomerulonephritis with unspecified pathological lesion in kidney,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5829,Chronic glomerulonephritis with unspecified pathological lesion in kidney,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,587,"Renal sclerosis, unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5920,Calculus of kidney,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5921,Calculus of ureter,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,5934,Other ureteric obstruction,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,59654,Neurogenic bladder NOS,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,59960,"Urinary obstruction, unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,59969,"Urinary obstruction, not elsewhere classified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,59970,"Hematuria, unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,59972,Microscopic hematuria,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,60886,Edema of male genital organs,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,61172,Lump or mass in breast,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,61650,"Ulceration of vulva, unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,6185,Prolapse of vaginal vault after hysterectomy,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,6186,"Vaginal enterocele, congenital or acquired",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,6202,Other and unspecified ovarian cyst,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,6253,Dysmenorrhea,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,6273,Postmenopausal atrophic vaginitis,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,6824,"Cellulitis and abscess of hand, except fingers and thumb",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,6869,LOCAL SKIN INFECTION NOS,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,6926,Contact dermatitis and other eczema due to plants [except food],1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,6961,Other psoriasis,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,70400,"Alopecia, unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,70722,"Pressure ulcer, stage II",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,70723,"Pressure ulcer, stage III",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,71535,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,71536,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,71650,"Unspecified polyarthropathy or polyarthritis, site unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,71696,"Arthropathy, unspecified, lower leg",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,71940,"Pain in joint, site unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7197,Difficulty in walking,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7200,Ankylosing spondylitis,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7210,Cervical spondylosis without myelopathy,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7213,Lumbosacral spondylosis without myelopathy,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7224,Degeneration of cervical intervertebral disc,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,72252,Degeneration of lumbar or lumbosacral intervertebral disc,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7231,CERVICALGIA,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,72402,"Spinal stenosis, lumbar region, without neurogenic claudication",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,72403,"Spinal stenosis, lumbar region, with neurogenic claudication",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7242,LUMBAGO,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7260,Adhesive capsulitis of shoulder,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,72888,Rhabdomyolysis,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,72889,"Other disorders of muscle, ligament, and fascia",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7291,"Myalgia and myositis, unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7295,Pain in limb,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,72981,SWELLING OF LIMB,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,72989,Other musculoskeletal symptoms referable to limbs,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,73010,"Chronic osteomyelitis, site unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,73730,"Scoliosis [and kyphoscoliosis], idiopathic",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,75169,"Other anomalies of gallbladder, bile ducts, and liver",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,75249,"Other anomalies of cervix, vagina, and external female genitalia",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,75261,Hypospadias,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7530,Renal agenesis and dysgenesis,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,75310,"Cystic kidney disease, unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,75612,Spondylolisthesis,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7801,Hallucinations,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78057,Unspecified sleep apnea,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78061,Fever presenting with conditions classified elsewhere,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78065,Hypothermia not associated with low environmental temperature,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78094,Early satiety,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7810,Abnormal involuntary movements,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7813,Lack of coordination,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7830,Anorexia,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7837,Adult failure to thrive,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7842,"Swelling, mass, or lump in head and neck",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78442,Dysphonia,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78469,Other symbolic dysfunction,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7851,Palpitations,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7852,Undiagnosed cardiac murmurs,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78550,SHOCK NOS,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78551,Cardiogenic shock,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78605,Shortness of breath,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78606,Tachypnea,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7862,COUGH,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78652,Painful respiration,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78702,Nausea alone,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78729,Other dysphagia,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7873,"Flatulence, eructation, and gas pain",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78829,Other specified retention of urine,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78838,Overflow incontinence,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7885,Oliguria and anuria,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,78904,ABDOMINAL PAIN LLQ,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7892,Splenomegaly,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,79021,Impaired fasting glucose,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,79022,Impaired glucose tolerance test (oral),1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,79029,Other abnormal glucose,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7906,Other abnormal blood chemistry,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7916,Acetonuria,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,79319,Other nonspecific abnormal finding of lung field,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,79439,ABN CARDIOVASC STUDY NEC,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,7991,RESPIRATORY FAILURE,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,80701,FRACTURE ONE RIB-CLOSED,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,80702,Closed fracture of two ribs,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,80703,FRACTURE THREE RIBS-CLOS,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,80707,Closed fracture of seven ribs,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,81201,Closed fracture of surgical neck of humerus,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,81342,Other closed fractures of distal end of radius (alone),1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,81344,FX LOW RADIUS W ULNA-CL,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,81600,"Closed fracture of phalanx or phalanges of hand, unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,82009,Other closed transcervical fracture of neck of femur,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,82021,Closed fracture of intertrochanteric section of neck of femur,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,82111,Open fracture of shaft of femur,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,83908,"Closed dislocation, multiple cervical vertebrae",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,8449,Sprains and strains of unspecified site of knee and leg,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,85186,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,85200,TRAUM SUBARACHNOID HEM,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,85201,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,8602,Traumatic hemothorax without mention of open wound into thorax,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,86100,Unspecified injury of heart without mention of open wound into thorax,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,86389,"Injury to other gastrointestinal sites, without mention of open wound into cavity",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,86401,"Injury to liver without mention of open wound into cavity, hematoma and contusion",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,86803,"Injury to other intra-abdominal organs without mention of open wound into cavity, peritoneum",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,8920,OPEN WOUND OF FOOT,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9086,Late effect of certain complications of trauma,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9168,"Other and unspecified superficial injury of hip, thigh, leg, and ankle, without mention of infection",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,92320,Contusion of hand(s),1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9243,Contusion of toe,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9331,Foreign body in larynx,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9584,Traumatic shock,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9585,Traumatic anuria,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,95901,HEAD INJURY UNSPECIFIED,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9623,Poisoning by insulins and antidiabetic agents,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9916,HYPOTHERMIA,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9950,Other anaphylactic reaction,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9953,"ALLERGY, UNSPECIFIED",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99594,Systemic inflammatory response syndrome due to noninfectious process with acute organ dysfunction,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99604,Mechanical complication of automatic implantable cardiac defibrillator,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9961,"Mechanical complication of other vascular device, implant, and graft",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,9962,"Mechanical complication of nervous system device, implant, and graft",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99657,Mechanical complication due to insulin pump,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99676,COMP D/TO GU DEVICE/GRAFT,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99679,COMP D/TO GRAFT/IMPLANT,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99702,Iatrogenic cerebrovascular infarction or hemorrhage,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99809,"Postoperative shock, other",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99830,"Disruption of wound, unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99932,Bloodstream infection due to central venous catheter,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,99933,Local infection due to central venous catheter,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8498,Accidents occurring in other specified places,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8580,Accidental poisoning by hormones and synthetic substitutes,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8654,Accidental poisoning from other specified plants,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8700,"Accidental cut, puncture, perforation or hemorrhage during surgical operation",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8706,"Accidental cut, puncture, perforation or hemorrhage during heart catheterization",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8708,"Accidental cut, puncture, perforation or hemorrhage during other specified medical care",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8768,Other specified misadventures during medical care,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8788,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8790,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8799,ABN REACT-PROCEDURE NOS,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8844,Accidental fall from bed,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E887,"Fracture, cause unspecified",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E8881,Fall resulting in striking against other object,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9019,EXCESSIVE COLD NOS,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9063,Bite of other animal except arthropod,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E912,Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9290,Late effects of motor vehicle accident,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9347,Natural blood and blood products causing adverse effects in therapeutic use,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9348,Other agents affecting blood constituents causing adverse effects in therapeutic use,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9353,Salicylates causing adverse effects in therapeutic use,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9358,Other specified analgesics and antipyretics causing adverse effects in therapeutic use,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9383,Intravenous anesthetics causing adverse effects in therapeutic use,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9393,"Other antipsychotics, neuroleptics, and major tranquilizers causing adverse effects in therapeutic use",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9425,ADV EFF VASODILATORS NEC,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9600,Unarmed fight or brawl,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,E9688,ASSAULT NEC,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V0179,Contact with or exposure to other viral diseases,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V090,Infection with microorganisms resistant to penicillins,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1005,Personal history of malignant neoplasm of large intestine,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1006,"Personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1009,Personal history of malignant neoplasm of other gastrointestinal tract,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1011,Personal history of malignant neoplasm of bronchus and lung,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1041,Personal history of malignant neoplasm of cervix uteri,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1072,Personal history of hodgkin's disease,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1082,Personal history of malignant melanoma of skin,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1202,Personal history of poliomyelitis,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1261,Personal history of pneumonia (recurrent),1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1279,Personal history of other diseases of digestive system,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1301,Personal history of urinary calculi,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1351,Personal history of pathologic fracture,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V140,Personal history of allergy to penicillin,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V141,Personal history of allergy to other antibiotic agent,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V151,"Personal history of surgery to heart and great vessels, presenting hazards to health",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1588,History of fall,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V160,Family history of malignant neoplasm of gastrointestinal tract,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V1642,Family history of malignant neoplasm of prostate,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V168,Family history of other specified malignant neoplasm,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V169,Family history of unspecified malignant neoplasm,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V180,Family history of diabetes mellitus,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V422,Heart valve replaced by transplant,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V431,Lens replaced by other means,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V446,Other artificial opening of urinary tract status,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V4511,Renal dialysis status,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V4512,Noncompliance with renal dialysis,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V454,Arthrodesis status,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V4561,Cataract extraction status,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V4579,Other acquired absence of organ,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V4581,Aortocoronary bypass status,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V4611,"Dependence on respirator, status",1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V4972,Other toe(s) amputation status,1
Condition.code,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,V5331,Fitting and adjustment of cardiac pacemaker,1
